"Connect using 
""PLX-DAQ Simple Test""";;;;;;;;;
17:04:08;;10;;;;;;;
17:04:10;;10;;;;;;;
17:04:11;;10;;;;;;;
17:04:13;;10;;;;;;;
17:04:15;;10;;;;;;;
17:04:17;;10;;;;;;;
17:04:18;;10;;;;;;;
17:04:20;;10;;;;;;;
17:04:22;;10;;;;;;;
17:04:24;;10;;;;;;;
17:04:25;;10;;;;;;;
17:04:27;;10;;;;;;;
17:04:29;;10;;;;;;;
17:04:31;;10;;;;;;;
17:04:32;;10;;;;;;;
17:04:34;;10;;;;;;;
17:04:36;;10;;;;;;;
17:04:38;;10;;;;;;;
17:04:39;;10;;;;;;;
17:04:41;;10;;;;;;;
17:04:43;;10;;;;;;;
17:04:45;;10;;;;;;;
17:04:46;;9;;;;;;;
17:04:48;;9;;;;;;;
17:04:50;;9;;;;;;;
17:04:52;;10;;;;;;;
17:04:54;;10;;;;;;;
17:04:55;;10;;;;;;;
17:04:57;;9;;;;;;;
17:04:59;;10;;;;;;;
17:05:01;;10;;;;;;;
17:05:02;;10;;;;;;;
17:05:04;;10;;;;;;;
17:05:06;;10;;;;;;;
17:05:08;;10;;;;;;;
17:05:09;;10;;;;;;;
17:05:11;;9;;;;;;;
17:05:13;;9;;;;;;;
17:05:15;;10;;;;;;;
17:05:16;;10;;;;;;;
17:05:18;;9;;;;;;;
17:05:20;;9;;;;;;;
17:05:22;;10;;;;;;;
17:05:23;;10;;;;;;;
17:05:25;;10;;;;;;;
17:05:27;;10;;;;;;;
17:05:29;;9;;;;;;;
17:05:30;;9;;;;;;;
17:05:32;;9;;;;;;;
17:05:34;;10;;;;;;;
17:05:36;;9;;;;;;;
17:05:37;;9;;;;;;;
17:05:39;;9;;;;;;;
17:05:41;;9;;;;;;;
17:05:43;;9;;;;;;;
17:05:44;;9;;;;;;;
17:05:46;;9;;;;;;;
17:05:48;;9;;;;;;;
17:05:50;;10;;;;;;;
17:05:52;;10;;;;;;;
17:05:53;;9;;;;;;;
17:05:55;;10;;;;;;;
17:05:57;;10;;;;;;;
17:05:59;;10;;;;;;;
17:06:00;;10;;;;;;;
17:06:02;;9;;;;;;;
17:06:04;;9;;;;;;;
17:06:06;;9;;;;;;;
17:06:07;;9;;;;;;;
17:06:09;;9;;;;;;;
17:06:11;;9;;;;;;;
17:06:13;;9;;;;;;;
17:06:14;;9;;;;;;;
17:06:16;;9;;;;;;;
17:06:18;;10;;;;;;;
17:06:20;;9;;;;;;;
17:06:21;;9;;;;;;;
17:06:23;;9;;;;;;;
17:06:25;;9;;;;;;;
17:06:27;;9;;;;;;;
17:06:28;;9;;;;;;;
17:06:30;;9;;;;;;;
17:06:32;;9;;;;;;;
17:06:34;;9;;;;;;;
17:06:35;;9;;;;;;;
17:06:37;;10;;;;;;;
17:06:39;;10;;;;;;;
17:06:41;;10;;;;;;;
17:06:42;;10;;;;;;;
17:06:44;;10;;;;;;;
17:06:46;;10;;;;;;;
17:06:48;;10;;;;;;;
17:06:50;;9;;;;;;;
17:06:51;;9;;;;;;;
17:06:53;;9;;;;;;;
17:06:55;;9;;;;;;;
17:06:57;;9;;;;;;;
17:06:58;;9;;;;;;;
17:07:00;;9;;;;;;;
17:07:02;;9;;;;;;;
17:07:04;;9;;;;;;;
17:07:05;;9;;;;;;;
17:07:07;;9;;;;;;;
17:07:09;;9;;;;;;;
17:07:11;;9;;;;;;;
17:07:12;;9;;;;;;;
17:07:14;;9;;;;;;;
17:07:16;;9;;;;;;;
17:07:18;;9;;;;;;;
17:07:19;;9;;;;;;;
17:07:21;;9;;;;;;;
17:07:23;;9;;;;;;;
17:07:25;;9;;;;;;;
17:07:26;;9;;;;;;;
17:07:28;;9;;;;;;;
17:07:30;;9;;;;;;;
17:07:32;;9;;;;;;;
17:07:33;;9;;;;;;;
17:07:35;;9;;;;;;;
17:07:37;;9;;;;;;;
17:07:39;;9;;;;;;;
17:07:41;;9;;;;;;;
17:07:42;;9;;;;;;;
17:07:44;;9;;;;;;;
17:07:46;;9;;;;;;;
17:07:48;;9;;;;;;;
17:07:49;;9;;;;;;;
17:07:51;;9;;;;;;;
17:07:53;;9;;;;;;;
17:07:55;;9;;;;;;;
17:07:56;;9;;;;;;;
17:07:58;;9;;;;;;;
17:08:00;;9;;;;;;;
17:08:02;;9;;;;;;;
17:08:03;;9;;;;;;;
17:08:05;;9;;;;;;;
17:08:07;;9;;;;;;;
17:08:09;;9;;;;;;;
17:08:10;;9;;;;;;;
17:08:12;;9;;;;;;;
17:08:14;;9;;;;;;;
17:08:16;;9;;;;;;;
17:08:17;;9;;;;;;;
17:08:19;;9;;;;;;;
17:08:21;;9;;;;;;;
17:08:23;;9;;;;;;;
17:08:24;;9;;;;;;;
17:08:26;;9;;;;;;;
17:08:28;;9;;;;;;;
17:08:30;;9;;;;;;;
17:08:31;;9;;;;;;;
17:08:33;;9;;;;;;;
17:08:35;;9;;;;;;;
17:08:37;;9;;;;;;;
17:08:39;;9;;;;;;;
17:08:40;;9;;;;;;;
17:08:42;;9;;;;;;;
17:08:44;;9;;;;;;;
17:08:46;;9;;;;;;;
17:08:47;;9;;;;;;;
17:08:49;;8;;;;;;;
17:08:51;;8;;;;;;;
17:08:53;;8;;;;;;;
17:08:54;;8;;;;;;;
17:08:56;;8;;;;;;;
